#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 02 02 00 999 99.0 99.0  1.19 14.29  7.80 268 9999.0   9.5  11.1 999.0 99.0 99.00
2022 01 02 02 30 999 99.0 99.0  1.06 14.29  7.00 267 9999.0   9.5  11.1 999.0 99.0 99.00
2022 01 02 03 00 999 99.0 99.0  1.10 14.29  7.42 269 9999.0   9.5  11.0 999.0 99.0 99.00
2022 01 02 03 30 999 99.0 99.0  1.14 14.29  7.38 273 9999.0   9.0  11.0 999.0 99.0 99.00
2022 01 02 04 00 999 99.0 99.0  1.08 14.29  7.08 271 9999.0   8.8  11.0 999.0 99.0 99.00
2022 01 02 04 30 999 99.0 99.0  1.11 13.33  7.70 267 9999.0   8.9  10.9 999.0 99.0 99.00
2022 01 02 05 00 999 99.0 99.0  0.90 13.33  7.21 273 9999.0   8.6  11.0 999.0 99.0 99.00
2022 01 02 05 30 999 99.0 99.0  1.08 13.33  8.06 270 9999.0   8.8  11.0 999.0 99.0 99.00
2022 01 02 06 00 999 99.0 99.0  1.08 13.33  7.65 278 9999.0   8.9  11.1 999.0 99.0 99.00
2022 01 02 06 30 999 99.0 99.0  1.03 13.33  7.91 268 9999.0   8.9  11.1 999.0 99.0 99.00
2022 01 02 07 00 999 99.0 99.0  0.99 13.33  7.69 275 9999.0   8.8  11.1 999.0 99.0 99.00
2022 01 02 07 30 999 99.0 99.0  1.07 14.29  7.54 268 9999.0   9.0  11.2 999.0 99.0 99.00
2022 01 02 08 00 999 99.0 99.0  0.99 13.33  6.60 273 9999.0   8.9  11.2 999.0 99.0 99.00
2022 01 02 08 30 999 99.0 99.0  1.03 14.29  6.81 267 9999.0   8.7  11.2 999.0 99.0 99.00
2022 01 02 09 00 999 99.0 99.0  1.06 14.29  7.07 279 9999.0   8.5  11.2 999.0 99.0 99.00
2022 01 02 09 30 999 99.0 99.0  1.08 13.33  7.01 271 9999.0   8.0  11.3 999.0 99.0 99.00
2022 01 02 10 00 999 99.0 99.0  1.18 13.33  7.34 276 9999.0   8.3  11.3 999.0 99.0 99.00
2022 01 02 10 30 999 99.0 99.0  1.03 13.33  6.55 275 9999.0   8.1  11.3 999.0 99.0 99.00
2022 01 02 11 00 999 99.0 99.0  1.03 14.29  6.78 269 9999.0   8.2  11.3 999.0 99.0 99.00
2022 01 02 11 30 999 99.0 99.0  1.03 13.33  6.64 279 9999.0   8.0  11.3 999.0 99.0 99.00
2022 01 02 12 00 999 99.0 99.0  1.05 13.33  6.77 275 9999.0   7.9  11.3 999.0 99.0 99.00
2022 01 02 12 30 999 99.0 99.0  0.97 13.33  6.55 277 9999.0   7.8  10.9 999.0 99.0 99.00
2022 01 02 13 00 999 99.0 99.0  0.99 13.33  6.64 276 9999.0   7.8  11.1 999.0 99.0 99.00
2022 01 02 13 30 999 99.0 99.0  0.98 13.33  6.48 273 9999.0   7.2  10.9 999.0 99.0 99.00
2022 01 02 14 00 999 99.0 99.0  0.97 15.38  6.16 248 9999.0   7.2  11.1 999.0 99.0 99.00
2022 01 02 14 30 999 99.0 99.0  0.99 14.29  6.18 272 9999.0   6.9  11.0 999.0 99.0 99.00
2022 01 02 15 00 999 99.0 99.0  0.95 12.50  5.81 276 9999.0   7.1  11.0 999.0 99.0 99.00
2022 01 02 15 30 999 99.0 99.0  0.96 14.29  6.38 274 9999.0   7.4  11.0 999.0 99.0 99.00
2022 01 02 16 00 999 99.0 99.0  1.00 13.33  6.77 271 9999.0   7.7  11.0 999.0 99.0 99.00
2022 01 02 16 30 999 99.0 99.0  0.90 14.29  6.26 271 9999.0   7.8  11.0 999.0 99.0 99.00
2022 01 02 17 00 999 99.0 99.0  0.97 13.33  6.69 277 9999.0   8.2  11.0 999.0 99.0 99.00
2022 01 02 17 30 999 99.0 99.0  0.93 14.29  6.85 259 9999.0   8.4  11.0 999.0 99.0 99.00
