#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 02 01 30 999 99.0 99.0  2.19 15.38 10.76 265 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 02 00 999 99.0 99.0  2.15 15.38 10.50 265 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 02 30 999 99.0 99.0  2.23 15.38 11.01 270 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 03 00 999 99.0 99.0  2.24 15.38 10.77 263 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 03 30 999 99.0 99.0  2.09 14.29 10.84 271 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 04 00 999 99.0 99.0  2.33 14.29 11.54 268 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 02 04 30 999 99.0 99.0  2.18 14.29 10.70 270 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 02 05 00 999 99.0 99.0  2.20 15.38 11.72 269 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 02 05 30 999 99.0 99.0  2.08 20.00 11.18 277 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 02 06 00 999 99.0 99.0  2.23 20.00 11.76 277 9999.0 999.0  11.0 999.0 99.0 99.00
2021 01 02 06 30 999 99.0 99.0  2.21 20.00 12.12 278 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 07 00 999 99.0 99.0  2.25 20.00 12.31 268 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 07 30 999 99.0 99.0  2.49 20.00 13.11 276 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 08 00 999 99.0 99.0  2.50 20.00 13.48 274 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 08 30 999 99.0 99.0  2.51 20.00 13.98 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 09 00 999 99.0 99.0  2.32 20.00 12.54 272 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 09 30 999 99.0 99.0  2.92 20.00 14.57 274 9999.0 999.0  10.9 999.0 99.0 99.00
2021 01 02 10 00 999 99.0 99.0  3.05 20.00 14.67 277 9999.0 999.0  10.8 999.0 99.0 99.00
2021 01 02 10 30 999 99.0 99.0  2.92 20.00 14.58 272 9999.0 999.0  10.8 999.0 99.0 99.00
